lvl;cid;all;character_id;value_id;type;name;pos;count_chara;count_value;count_goods;count_sub;filter_status;filter_id;filter_name;filter_pos
;21;;135;357;value;900;;;;25;;;;;
;21;;135;382;value;750;;;;30;;;;;
;21;;135;610;value;850;;;;37;;;;;
;21;;136;;character;Плотность ткани на днище;;;3;92;;0;;;
;21;;136;358;value;900;;;;25;;;;;
;21;;136;383;value;750;;;;30;;;;;
;21;;136;609;value;850;;;;37;;;;;
;21;;9;;character;Тип крепления сиденья;;;1;122;;1;13;Тип крепления сиденья;30
;21;;9;46;value;передвижные;;;;122;;;;;
;21;;10;;character;Вид транца;;;3;117;;0;;;
;21;;10;10;value;стационарный;;;;92;;;;;
;21;;10;371;value;нет;;;;15;;;;;
;21;;10;552;value;навесной;;;;10;;;;;
;21;;37;;character;Высота транца;;;4;92;;0;;;
;21;;37;40;value;0.405;;;;26;;;;;
;21;;37;622;value;0,395;;;;10;;;;;
;21;;37;1233;value;S;;;;40;;;;;
;21;;37;1670;value;0,405;;;;16;;;;;
;21;;84;;character;Толщина транца;;;2;107;;0;;;
;21;;84;188;value;18;;;;72;;;;;
;21;;84;203;value;27;;;;35;;;;;
;21;;81;;character;Длина весел;;;6;112;;1;14;Длина весел;30
;21;;81;359;value;1.6;;;;17;;;;;
;21;;81;588;value;1.40;;;;10;;;;;
;21;;81;185;value;1.60;;;;37;;;;;
;21;;81;621;value;1,6;;;;15;;;;;
;21;;81;2645;value;1,8;;;;25;;;;;
;21;;81;2653;value;1.8;;;;8;;;;;
;21;;7;;character;Количество упаковочных сумок;;;2;112;;0;;;
;21;;7;119;value;2;;;;77;;;;;
;21;;7;7;value;1;;;;35;;;;;
;21;;94;;character;Размер банки;;;8;70;;0;;;
;21;;94;360;value;0.85*22;;;;5;;;;;
;21;;94;581;value;0.85х0.22 м;;;;35;;;;;
;21;;94;604;value;0.85х0.22;;;;5;;;;;
;21;;94;1290;value;0.85х0.2;;;;5;;;;;
;21;;94;1298;value;0.85x200;;;;5;;;;;
;21;;94;2648;value;0,85 х 220;;;;5;;;;;
;21;;94;3352;value;0.2*0.85;;;;2;;;;;
;21;;94;3372;value;0.9x0.22;;;;8;;;;;
;21;;137;;character;Длина стрингера;;;7;45;;0;;;
;21;;137;361;value;0.6;;;;5;;;;;
